전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,인후동2가,안덕원로,1,1,1,1,1,1,1,1,1,1
월세,인후동2가,작은모래내1길,1,1,1,1,1,1,1,1,1,1
월세,장동,원장동길,1,1,1,1,1,1,1,1,1,1
월세,장동,틀못2길,2,2,2,2,2,2,2,2,2,2
월세,전미동2가,전미월평4길,1,1,1,1,1,1,1,1,1,1
월세,중동,오정1길,11,11,11,11,11,11,11,11,9,11
월세,중동,오정2길,4,4,4,4,4,4,4,4,4,4
월세,진북동,건산1길,1,1,1,1,1,1,1,1,0,1
월세,진북동,건산2길,1,1,1,1,1,1,1,1,1,1
월세,진북동,건산3길,3,3,3,3,3,3,3,3,3,3
월세,진북동,건산4길,5,5,5,5,5,5,5,5,5,5
월세,진북동,건산로,2,2,2,2,2,2,2,2,2,2
월세,진북동,공북1길,5,5,5,5,5,5,5,5,5,5
월세,진북동,공북5길,1,1,1,1,1,1,1,1,0,1
월세,진북동,공북로,1,1,1,1,1,1,1,1,1,1
월세,진북동,권삼득로,3,3,3,3,3,3,3,3,2,3
월세,진북동,반촌1길,1,1,1,1,1,1,1,1,1,1
월세,진북동,반촌5길,1,1,1,1,1,1,1,1,0,1
월세,진북동,반촌8길,1,1,1,1,1,1,1,1,1,1
월세,진북동,반촌로,3,3,3,3,3,3,3,3,2,3
월세,진북동,벚꽃3길,8,8,8,8,8,8,8,8,5,8
월세,진북동,벚꽃로,2,2,2,2,2,2,2,2,2,2
월세,진북동,숲정이1길,3,3,3,3,3,3,3,3,3,3
월세,진북동,숲정이2길,12,12,12,12,12,12,12,12,11,12
월세,진북동,숲정이3길,2,2,2,2,2,2,2,2,2,2
월세,진북동,숲정이4길,1,1,1,1,1,1,1,1,1,1
월세,진북동,숲정이5길,1,1,1,1,1,1,1,1,1,1
월세,진북동,숲정이로,1,1,1,1,1,1,1,1,1,1
월세,진북동,전주천동로,1,1,1,1,1,1,1,1,1,1
월세,진북동,전주천서로,1,1,1,1,1,1,1,1,0,1
월세,진북동,진북2길,1,1,1,1,1,1,1,1,1,1
월세,진북동,태진로,2,2,2,2,2,2,2,2,2,2
월세,진북동,팔달로,2,2,2,2,2,2,2,2,1,2
월세,팔복동1가,신복3길,3,3,3,3,3,3,3,3,3,3
월세,팔복동1가,신복5길,3,3,3,3,3,3,3,3,3,3
월세,팔복동1가,신복6길,1,1,1,1,1,1,1,1,1,1
월세,팔복동2가,추천4길,3,3,3,3,3,3,3,3,3,3
월세,팔복동2가,추천5길,1,1,1,1,1,1,1,1,1,1
월세,팔복동2가,팔복7길,1,1,1,1,1,1,1,1,1,1
월세,호성동1가,초포다리로,1,1,1,1,1,1,1,1,1,1
월세,호성동1가,호성3길,2,2,2,2,2,2,2,2,2,2
월세,호성동2가,한사월길,1,1,1,1,1,1,1,1,1,1
전세,고랑동,여산로,7,7,7,7,7,7,6,7,7,7
전세,고랑동,쪽구름5길,2,2,2,2,2,2,2,2,1,2
전세,금암동,거북바우3길,5,5,5,5,5,5,5,5,2,5
전세,금암동,건지2길,5,5,5,5,5,5,5,5,5,5
전세,금암동,건지3길,2,2,2,2,2,2,2,2,2,2
전세,금암동,건지로,1,1,1,1,1,1,1,1,1,1
전세,금암동,권삼득로,29,29,29,29,29,29,29,29,27,29
전세,금암동,금암1길,12,12,12,12,12,12,12,12,8,12
전세,금암동,금암2길,3,3,3,3,3,3,3,3,3,3
전세,금암동,금암3길,11,11,11,11,11,11,11,11,5,11
전세,금암동,금암4길,6,6,6,6,6,6,6,6,4,6
전세,금암동,금암5길,27,27,27,27,27,27,27,27,18,27
전세,금암동,금암6길,7,7,7,7,7,7,7,7,7,7
전세,금암동,기린대로,21,21,21,21,21,21,21,21,3,21
전세,금암동,떡전1길,1,1,1,1,1,1,1,1,1,1
전세,금암동,떡전3길,3,3,3,3,3,3,3,3,3,3
전세,금암동,떡전4길,16,16,16,16,16,16,16,16,8,16
전세,금암동,떡전5길,2,2,2,2,2,2,2,2,2,2
전세,금암동,떡전로,3,3,3,3,3,3,3,3,2,3
전세,금암동,매봉12길,1,1,1,1,1,1,1,1,1,1
전세,금암동,매봉15길,2,2,2,2,2,2,2,2,2,2
전세,금암동,매봉1길,12,12,12,12,12,12,12,12,12,12
전세,금암동,매봉2길,9,9,9,9,9,9,9,9,9,9
전세,금암동,매봉3길,5,5,5,5,5,5,5,5,2,5
전세,금암동,매봉4길,4,4,4,4,4,4,4,4,4,4
전세,금암동,매봉5길,3,3,3,3,3,3,3,3,2,3
전세,금암동,매봉6길,9,9,9,9,9,9,9,9,9,9
전세,금암동,매봉7길,5,5,5,5,5,5,5,5,4,5
전세,금암동,매봉8길,3,3,3,3,3,3,3,3,2,3
전세,금암동,명륜1길,2,2,2,2,2,2,2,2,1,2
전세,금암동,모래내2길,1,1,1,1,1,1,1,1,1,1
전세,금암동,모래내9길,1,1,1,1,1,1,1,1,1,1
전세,금암동,백제대로,13,13,13,13,13,13,13,13,10,13
전세,금암동,삼송1길,5,5,5,5,5,5,5,5,5,5
전세,금암동,삼송3길,3,3,3,3,3,3,3,3,0,3
전세,금암동,삼송5길,5,5,5,5,5,5,5,5,5,5
전세,금암동,용산2길,1,1,1,1,1,1,1,1,0,1
전세,금암동,전주천동로,2,2,2,2,2,2,2,2,2,2
전세,금암동,조경단로,5,5,5,5,5,5,5,5,3,5
전세,금암동,태진로,1,1,1,1,1,1,1,1,0,1
전세,금암동,팔달로,5,5,5,5,5,5,5,5,5,5
전세,덕진동1가,가리내로,1,1,1,1,1,1,1,1,0,1
전세,덕진동1가,권삼득로,4,4,4,4,4,4,4,4,4,4
전세,덕진동1가,기린대로,2,2,2,2,2,2,2,2,0,2
전세,덕진동1가,덕진연못1길,3,3,3,3,3,3,3,3,2,3
전세,덕진동1가,덕진연못3길,1,1,1,1,1,1,1,1,1,1
전세,덕진동1가,들사평1길,12,12,12,12,12,12,12,12,9,12
전세,덕진동1가,들사평2길,8,8,8,8,8,8,8,8,8,8
전세,덕진동1가,들사평3길,11,11,11,11,11,11,11,11,10,11
