전월세구분,dong,도로명,시군구,번지,도로조건,계약면적(㎡),계약년월,계약일,보증금(만원),월세(만원),건축년도,address
월세,효자동2가,범안2길,26,26,26,26,26,26,26,26,25,26
월세,효자동2가,범안3길,18,18,18,18,18,18,18,18,17,18
월세,효자동2가,봉곡1길,14,14,14,14,14,14,14,14,14,14
월세,효자동2가,봉곡3길,29,29,29,29,29,29,29,29,28,29
월세,효자동2가,봉곡로,4,4,4,4,4,4,4,4,3,4
월세,효자동2가,소태정5길,4,4,4,4,4,4,4,4,3,4
월세,효자동2가,쑥고개로,1,1,1,1,1,1,1,1,1,1
월세,효자동2가,우전1길,6,6,6,6,6,6,6,6,6,6
월세,효자동2가,우전2길,18,18,18,18,18,18,18,18,16,18
월세,효자동2가,후곡길,10,10,10,10,10,10,10,10,9,10
월세,효자동3가,농소1길,3,3,3,3,3,3,3,3,3,3
월세,효자동3가,농소2길,11,11,11,11,11,11,11,11,11,11
월세,효자동3가,농소4길,13,13,13,13,13,13,13,13,13,13
월세,효자동3가,마전들로,13,13,13,13,13,13,13,13,11,13
월세,효자동3가,만지길,1,1,1,1,1,1,1,1,0,1
월세,효자동3가,문학대1길,12,12,12,12,12,12,12,12,10,12
월세,효자동3가,문학대2길,28,28,28,28,28,28,28,28,28,28
월세,효자동3가,문학대3길,7,7,7,7,7,7,7,7,7,7
월세,효자동3가,문학대4길,27,27,27,27,27,27,27,27,26,27
월세,효자동3가,문학대5길,11,11,11,11,11,11,11,11,11,11
월세,효자동3가,문학대6길,20,20,20,20,20,20,20,20,20,20
월세,효자동3가,문학로,8,8,8,8,8,8,8,8,7,8
월세,효자동3가,배학1길,12,12,12,12,12,12,12,12,11,12
월세,효자동3가,배학2길,44,44,44,44,44,44,44,44,43,44
월세,효자동3가,배학3길,9,9,9,9,9,9,9,9,8,9
월세,효자동3가,배학4길,25,25,25,25,25,25,25,25,23,25
월세,효자동3가,배학5길,2,2,2,2,2,2,2,2,2,2
월세,효자동3가,배학6길,5,5,5,5,5,5,5,5,5,5
월세,효자동3가,백마산길,4,4,4,4,4,4,4,4,3,4
월세,효자동3가,봉곡1길,8,8,8,8,8,8,8,8,8,8
월세,효자동3가,봉곡2길,6,6,6,6,6,6,6,6,5,6
월세,효자동3가,봉곡3길,6,6,6,6,6,6,6,6,6,6
월세,효자동3가,봉곡4길,8,8,8,8,8,8,8,8,7,8
월세,효자동3가,봉곡로,4,4,4,4,4,4,4,4,4,4
월세,효자동3가,서곡1길,29,29,29,29,29,29,29,29,26,29
월세,효자동3가,서곡2길,32,32,32,32,32,32,32,32,28,32
월세,효자동3가,서곡3길,13,13,13,13,13,13,13,13,12,13
월세,효자동3가,서곡4길,6,6,6,6,6,6,6,6,5,6
월세,효자동3가,서곡5길,8,8,8,8,8,8,8,8,7,8
월세,효자동3가,서곡6길,7,7,7,7,7,7,7,7,7,7
월세,효자동3가,서곡7길,3,3,3,3,3,3,3,3,3,3
월세,효자동3가,서곡로,6,6,6,6,6,6,6,6,6,6
월세,효자동3가,서원로,3,3,3,3,3,3,3,3,2,3
월세,효자동3가,세내로,5,5,5,5,5,5,5,5,4,5
월세,효자동3가,용호로,14,14,14,14,14,14,14,14,14,14
월세,효자동3가,척동10길,12,12,12,12,12,12,12,12,12,12
월세,효자동3가,척동1길,20,20,20,20,20,20,20,20,18,20
월세,효자동3가,척동2길,6,6,6,6,6,6,6,6,5,6
월세,효자동3가,척동3길,41,41,41,41,41,41,41,41,40,41
월세,효자동3가,척동4길,14,14,14,14,14,14,14,14,12,14
월세,효자동3가,척동5길,12,12,12,12,12,12,12,12,12,12
